2016	1	1	7.6	1.4	3	0
2016	1	2	9.7	6.5	4.2	0
2016	1	3	7.2	4.9	9.7	0
2016	1	4	10.4	4.2	0	3
2016	1	5	9.4	4.6	2	0.3
2016	1	6	8.4	5.3	2.4	0.2
2016	1	7	10.2	4.7	10.1	1.7
2016	1	8	7.5	0.5	2	0.9
2016	1	9	10.5	3	3.8	1.6
2016	1	10	9.3	3.8	4.4	0.7
2016	1	11	6.9	3.1	7.4	0
2016	1	12	7.1	3	9.4	0.8
2016	1	13	7	1.5	0.6	1.8
2016	1	14	6.4	2.8	4.8	1.5
2016	1	15	5.5	0.6	0.8	3.5
2016	1	16	6.5	-1.5	0	2.4
2016	1	17	2.5	-1.1	1.4	0
2016	1	18	0.8	-1.9	0	2.4
2016	1	19	1.1	-6.9	0	4.8
2016	1	20	2.2	-7.1	0	6
2016	1	21	1	-5.1	0	2.8
2016	1	22	7.9	-1.3	6.3	0
2016	1	23	7	5	3.4	0
2016	1	24	11	5	0	0
2016	1	25	13.1	5	0	5.3
2016	1	26	11.7	7.7	1.8	2.9
2016	1	27	11	8.6	8.7	0
2016	1	28	8.2	3	0	2.3
2016	1	29	9.5	0.6	0.6	0
2016	1	30	9.5	5.5	5	0
2016	1	31	11.7	4.8	0	0
2016	2	1	11.8	10.6	0	0
2016	2	2	11.5	6.8	6	0
2016	2	3	7	2.3	3.8	2.1
2016	2	4	9.9	2	4.6	0
2016	2	5	9.8	8.3	0	0
2016	2	6	11.9	7.3	2.6	0.1
2016	2	7	11	3.5	6	4.1
2016	2	8	9.4	5.9	5.6	2.5
2016	2	9	8.3	3.2	18	0.1
2016	2	10	6.3	0.8	0.8	1
2016	2	11	8.7	0.3	0.2	4.2
2016	2	12	4	0.9	5.2	0
2016	2	13	7.5	3.1	11.5	0
2016	2	14	6.8	3.6	3.4	1.5
2016	2	15	5.4	0.9	0.6	3.1
2016	2	16	6.9	-1.6	0.2	8.9
2016	2	17	5.8	-5.6	0	8.2
2016	2	18	4.9	-1.1	2.6	0
2016	2	19	10.7	-2	1.2	6.8
2016	2	20	12	6.1	2.4	0
2016	2	21	11.7	9.6	0.2	0
2016	2	22	11.3	9.2	11.5	0
2016	2	23	9.8	1.6	0	6.8
2016	2	24	6.9	-1.7	0	0.2
2016	2	25	6.6	-1	0.2	3.1
2016	2	26	4.2	0.8	0	0.4
2016	2	27	6.7	-0.6	0	5.7
2016	2	28	7.4	0.4	0	8.6
2016	2	29	7.7	0.1	0	8.8
2016	3	1	9.5	0.2	7	0
2016	3	2	9.8	1.1	5.8	4.1
2016	3	3	8.8	4.6	5.2	3.8
2016	3	4	7.9	2.9	7	1.5
2016	3	5	8	1.7	1.6	4.9
2016	3	6	8.4	-0.3	0.8	4.4
2016	3	7	6.4	0.6	2	3.3
2016	3	8	9.3	-1.3	2.2	3.2
2016	3	9	9.8	4.6	6.1	1.6
2016	3	10	8	3.5	0	1.5
2016	3	11	11.1	1.7	0	8.9
2016	3	12	11.7	1.7	0	9
